proxy,is_active,response_time_ms,status_code,anonymity,error,timestamp,source
185.221.160.169:80,False,39,403.0,unknown,Status 403 ou tempo de resposta 39ms,2025-10-12T06:14:03.890809,scraped
172.67.91.36:80,False,39,403.0,unknown,Status 403 ou tempo de resposta 39ms,2025-10-12T06:14:03.890848,scraped
185.148.106.64:80,False,39,403.0,unknown,Status 403 ou tempo de resposta 39ms,2025-10-12T06:14:03.890850,scraped
104.18.11.98:80,False,39,403.0,unknown,Status 403 ou tempo de resposta 39ms,2025-10-12T06:14:03.890852,scraped
172.67.70.237:80,False,37,403.0,unknown,Status 403 ou tempo de resposta 37ms,2025-10-12T06:14:03.890853,scraped
172.67.214.56:80,False,45,403.0,unknown,Status 403 ou tempo de resposta 45ms,2025-10-12T06:14:03.890854,scraped
216.205.52.98:80,False,37,403.0,unknown,Status 403 ou tempo de resposta 37ms,2025-10-12T06:14:03.890855,scraped
104.25.0.31:80,False,39,403.0,unknown,Status 403 ou tempo de resposta 39ms,2025-10-12T06:14:03.890856,scraped
104.16.80.232:80,False,38,403.0,unknown,Status 403 ou tempo de resposta 38ms,2025-10-12T06:14:03.890857,scraped
206.238.238.101:80,False,41,403.0,unknown,Status 403 ou tempo de resposta 41ms,2025-10-12T06:14:03.890858,scraped
45.12.31.219:80,False,47,403.0,unknown,Status 403 ou tempo de resposta 47ms,2025-10-12T06:14:03.890859,scraped
45.67.215.2:80,False,41,403.0,unknown,Status 403 ou tempo de resposta 41ms,2025-10-12T06:14:03.890860,scraped
104.16.16.75:80,False,36,403.0,unknown,Status 403 ou tempo de resposta 36ms,2025-10-12T06:14:03.890861,scraped
167.99.124.118:80,False,5963,,unknown,Timeout,2025-10-12T06:14:03.890862,scraped
108.162.192.87:80,False,37,403.0,unknown,Status 403 ou tempo de resposta 37ms,2025-10-12T06:14:03.890863,scraped
45.159.216.52:80,False,37,403.0,unknown,Status 403 ou tempo de resposta 37ms,2025-10-12T06:14:03.890864,scraped
154.194.12.41:80,False,39,403.0,unknown,Status 403 ou tempo de resposta 39ms,2025-10-12T06:14:03.890864,scraped
185.162.231.189:80,False,35,403.0,unknown,Status 403 ou tempo de resposta 35ms,2025-10-12T06:14:03.890866,scraped
104.24.240.182:80,False,38,403.0,unknown,Status 403 ou tempo de resposta 38ms,2025-10-12T06:14:03.890867,scraped
104.21.2.219:80,False,39,403.0,unknown,Status 403 ou tempo de resposta 39ms,2025-10-12T06:14:03.890868,scraped
185.162.230.225:80,False,35,403.0,unknown,Status 403 ou tempo de resposta 35ms,2025-10-12T06:14:03.890868,scraped
104.25.90.144:80,False,37,403.0,unknown,Status 403 ou tempo de resposta 37ms,2025-10-12T06:14:03.890869,scraped
104.25.0.242:80,False,37,403.0,unknown,Status 403 ou tempo de resposta 37ms,2025-10-12T06:14:03.890871,scraped
46.254.92.51:80,False,35,403.0,unknown,Status 403 ou tempo de resposta 35ms,2025-10-12T06:14:03.890871,scraped
104.16.109.89:80,False,40,403.0,unknown,Status 403 ou tempo de resposta 40ms,2025-10-12T06:14:03.890872,scraped
180.180.175.11:8080,False,5962,,unknown,Timeout,2025-10-12T06:14:03.890873,scraped
104.25.0.37:80,False,37,403.0,unknown,Status 403 ou tempo de resposta 37ms,2025-10-12T06:14:03.890874,scraped
38.153.135.202:5582,False,289,407.0,unknown,Status 407 ou tempo de resposta 289ms,2025-10-12T06:14:03.890875,scraped
172.64.33.175:80,False,36,403.0,unknown,Status 403 ou tempo de resposta 36ms,2025-10-12T06:14:03.890876,scraped
104.25.70.203:80,False,36,403.0,unknown,Status 403 ou tempo de resposta 36ms,2025-10-12T06:14:03.890877,scraped
185.148.104.189:80,False,34,403.0,unknown,Status 403 ou tempo de resposta 34ms,2025-10-12T06:14:03.890878,scraped
46.254.93.127:80,False,45,403.0,unknown,Status 403 ou tempo de resposta 45ms,2025-10-12T06:14:03.890879,scraped
141.101.123.186:80,False,37,403.0,unknown,Status 403 ou tempo de resposta 37ms,2025-10-12T06:14:03.890880,scraped
185.221.160.107:80,False,37,403.0,unknown,Status 403 ou tempo de resposta 37ms,2025-10-12T06:14:03.890881,scraped
45.131.4.117:80,False,37,403.0,unknown,Status 403 ou tempo de resposta 37ms,2025-10-12T06:14:03.890882,scraped
188.114.99.173:80,False,32,403.0,unknown,Status 403 ou tempo de resposta 32ms,2025-10-12T06:14:03.890883,scraped
154.194.12.113:80,False,36,403.0,unknown,Status 403 ou tempo de resposta 36ms,2025-10-12T06:14:03.890884,scraped
116.203.27.109:80,False,369,404.0,unknown,Status 404 ou tempo de resposta 369ms,2025-10-12T06:14:03.890885,scraped
185.148.104.50:80,False,37,403.0,unknown,Status 403 ou tempo de resposta 37ms,2025-10-12T06:14:03.890886,scraped
45.131.4.51:80,False,34,403.0,unknown,Status 403 ou tempo de resposta 34ms,2025-10-12T06:14:03.890887,scraped
206.238.236.138:80,False,5960,,unknown,Timeout,2025-10-12T06:14:03.890888,scraped
154.83.2.214:80,False,34,403.0,unknown,Status 403 ou tempo de resposta 34ms,2025-10-12T06:14:03.890889,scraped
45.80.108.37:80,False,36,403.0,unknown,Status 403 ou tempo de resposta 36ms,2025-10-12T06:14:03.890890,scraped
172.66.41.232:80,False,36,403.0,unknown,Status 403 ou tempo de resposta 36ms,2025-10-12T06:14:03.890890,scraped
172.66.43.127:80,False,33,403.0,unknown,Status 403 ou tempo de resposta 33ms,2025-10-12T06:14:03.890891,scraped
172.67.181.160:80,False,34,403.0,unknown,Status 403 ou tempo de resposta 34ms,2025-10-12T06:14:03.890893,scraped
181.214.1.39:80,False,34,403.0,unknown,Status 403 ou tempo de resposta 34ms,2025-10-12T06:14:03.890894,scraped
89.116.250.165:80,False,33,403.0,unknown,Status 403 ou tempo de resposta 33ms,2025-10-12T06:14:03.890895,scraped
45.131.210.184:80,False,40,403.0,unknown,Status 403 ou tempo de resposta 40ms,2025-10-12T06:14:03.890896,scraped
45.131.208.116:80,False,33,403.0,unknown,Status 403 ou tempo de resposta 33ms,2025-10-12T06:14:03.890896,scraped
104.17.4.219:80,False,34,403.0,unknown,Status 403 ou tempo de resposta 34ms,2025-10-12T06:14:03.890897,scraped
104.16.174.155:80,False,33,403.0,unknown,Status 403 ou tempo de resposta 33ms,2025-10-12T06:14:03.890898,scraped
104.21.87.68:80,False,37,403.0,unknown,Status 403 ou tempo de resposta 37ms,2025-10-12T06:14:03.890899,scraped
185.162.229.66:80,False,35,403.0,unknown,Status 403 ou tempo de resposta 35ms,2025-10-12T06:14:03.890900,scraped
104.25.1.21:80,False,38,403.0,unknown,Status 403 ou tempo de resposta 38ms,2025-10-12T06:14:03.890901,scraped
45.12.30.112:80,False,31,403.0,unknown,Status 403 ou tempo de resposta 31ms,2025-10-12T06:14:03.890902,scraped
206.238.238.69:80,False,31,403.0,unknown,Status 403 ou tempo de resposta 31ms,2025-10-12T06:14:03.890903,scraped
184.168.47.90:80,False,17,403.0,unknown,Status 403 ou tempo de resposta 17ms,2025-10-12T06:14:03.890904,scraped
104.26.6.131:80,False,18,403.0,unknown,Status 403 ou tempo de resposta 18ms,2025-10-12T06:14:03.890906,scraped
141.101.121.85:80,False,18,403.0,unknown,Status 403 ou tempo de resposta 18ms,2025-10-12T06:14:03.890906,scraped
206.238.239.189:80,False,22,403.0,unknown,Status 403 ou tempo de resposta 22ms,2025-10-12T06:14:03.890907,scraped
104.17.121.192:80,False,19,403.0,unknown,Status 403 ou tempo de resposta 19ms,2025-10-12T06:14:03.890908,scraped
104.24.175.17:80,False,21,403.0,unknown,Status 403 ou tempo de resposta 21ms,2025-10-12T06:14:03.890909,scraped
46.254.93.83:80,False,20,403.0,unknown,Status 403 ou tempo de resposta 20ms,2025-10-12T06:14:03.890910,scraped
162.159.244.30:80,False,70,403.0,unknown,Status 403 ou tempo de resposta 70ms,2025-10-12T06:14:03.890911,scraped
104.18.120.15:80,False,24,403.0,unknown,Status 403 ou tempo de resposta 24ms,2025-10-12T06:14:03.890912,scraped
185.88.177.197:80,True,886,200.0,elite,,2025-10-12T06:14:03.890913,scraped
45.4.0.45:999,False,5943,,unknown,Timeout,2025-10-12T06:14:03.890914,scraped
104.18.247.239:80,False,18,403.0,unknown,Status 403 ou tempo de resposta 18ms,2025-10-12T06:14:03.890915,scraped
195.245.221.189:80,False,19,403.0,unknown,Status 403 ou tempo de resposta 19ms,2025-10-12T06:14:03.890916,scraped
203.150.166.17:8080,False,218,,unknown,"Cannot connect to host 203.150.166.17:8080 ssl:default [Connect call failed ('203.150.166.17', 8080)]",2025-10-12T06:14:03.890917,scraped
104.17.20.26:80,False,27,403.0,unknown,Status 403 ou tempo de resposta 27ms,2025-10-12T06:14:03.890918,scraped
172.64.82.16:80,False,18,403.0,unknown,Status 403 ou tempo de resposta 18ms,2025-10-12T06:14:03.890919,scraped
212.183.88.36:80,False,20,403.0,unknown,Status 403 ou tempo de resposta 20ms,2025-10-12T06:14:03.890920,scraped
104.238.50.23:6569,False,310,407.0,unknown,Status 407 ou tempo de resposta 310ms,2025-10-12T06:14:03.890920,scraped
185.170.166.48:80,False,20,403.0,unknown,Status 403 ou tempo de resposta 20ms,2025-10-12T06:14:03.890921,scraped
104.18.223.153:80,False,20,403.0,unknown,Status 403 ou tempo de resposta 20ms,2025-10-12T06:14:03.890922,scraped
212.183.88.62:80,False,27,403.0,unknown,Status 403 ou tempo de resposta 27ms,2025-10-12T06:14:03.890923,scraped
45.131.209.253:80,False,20,403.0,unknown,Status 403 ou tempo de resposta 20ms,2025-10-12T06:14:03.890924,scraped
172.67.161.91:80,False,23,403.0,unknown,Status 403 ou tempo de resposta 23ms,2025-10-12T06:14:03.890925,scraped
192.252.220.89:4145,False,165,,unknown,[Errno 104] Connection reset by peer,2025-10-12T06:14:03.890926,scraped
104.27.206.201:80,False,18,403.0,unknown,Status 403 ou tempo de resposta 18ms,2025-10-12T06:14:03.890927,scraped
104.18.17.0:80,False,17,403.0,unknown,Status 403 ou tempo de resposta 17ms,2025-10-12T06:14:03.890928,scraped
188.114.96.21:80,False,20,403.0,unknown,Status 403 ou tempo de resposta 20ms,2025-10-12T06:14:03.890929,scraped
184.168.47.244:80,False,17,403.0,unknown,Status 403 ou tempo de resposta 17ms,2025-10-12T06:14:03.890930,scraped
